arg_id,micro_cluster_id,cluster_size,is_centroid,centroid_arg_id
A45_3,170,1,true,A45_3
A45_4,1208,1,true,A45_4
A45_5,462,2,true,A45_5
A45_6,301,1,true,A45_6
A45_7,928,1,true,A45_7
A45_8,462,2,false,A45_5
A46_0,280,2,true,A46_0
A46_1,279,2,true,A46_1
A46_2,1274,1,true,A46_2
A47_0,516,1,true,A47_0
A47_1,517,1,true,A47_1
A47_2,1239,1,true,A47_2
A47_3,82,1,true,A47_3
A47_4,37,1,true,A47_4
A47_5,1057,10,false,A102_0
A47_6,105,2,true,A47_6
A48_0,1353,2,true,A48_0
A48_1,186,2,true,A48_1
A48_2,681,1,true,A48_2
A49_0,210,1,true,A49_0
A49_1,683,1,true,A49_1
A49_2,1237,1,true,A49_2
A49_3,1225,1,true,A49_3
A49_4,1232,1,true,A49_4
A49_5,1310,1,true,A49_5
A49_6,263,1,true,A49_6
A50_0,372,1,true,A50_0
A51_0,1308,1,true,A51_0
A51_1,409,1,true,A51_1
A52_0,388,4,false,A21_0
A53_0,1378,2,true,A53_0
A54_0,475,2,true,A54_0
A54_1,1383,1,true,A54_1
A56_0,364,1,true,A56_0
A56_1,365,1,true,A56_1
A56_2,736,1,true,A56_2
A56_3,317,1,true,A56_3
A56_4,504,1,true,A56_4
A57_0,120,1,true,A57_0
A57_1,179,1,true,A57_1
A57_2,106,2,false,A39_1
A57_3,111,1,true,A57_3
A57_4,281,1,true,A57_4
A57_5,1094,1,true,A57_5
A57_6,369,2,true,A57_6
A57_7,188,1,true,A57_7
A57_8,464,1,true,A57_8
A57_9,262,1,true,A57_9
A57_10,600,1,true,A57_10
A58_0,946,1,true,A58_0
A58_1,1374,1,true,A58_1
A58_2,413,2,false,A33_3
A58_3,1089,2,false,A145_0
A58_4,484,1,true,A58_4
A58_5,391,1,true,A58_5
A58_6,357,1,true,A58_6
A58_7,402,1,true,A58_7
A59_0,560,1,true,A59_0
A59_1,649,1,true,A59_1
A59_2,651,1,true,A59_2
A59_3,1380,1,true,A59_3
A59_4,802,1,true,A59_4
A59_5,796,1,true,A59_5
A59_6,775,1,true,A59_6
A60_0,69,1,true,A60_0
A60_1,308,1,true,A60_1
A60_2,921,1,true,A60_2
A60_3,1385,1,true,A60_3
A60_4,972,1,true,A60_4
A60_5,535,1,true,A60_5
A60_6,721,1,true,A60_6
A60_7,529,2,true,A60_7
A60_8,260,1,true,A60_8
A61_0,395,1,true,A61_0
A61_1,102,1,true,A61_1
A61_2,404,2,false,A330_1
A62_0,900,1,true,A62_0
A62_1,1220,1,true,A62_1
A62_2,614,1,true,A62_2
A62_3,731,1,true,A62_3
A63_0,1257,1,true,A63_0
A63_1,894,1,true,A63_1
A63_2,729,1,true,A63_2
A63_3,730,1,true,A63_3
A63_4,570,1,true,A63_4
A63_5,572,1,true,A63_5
A63_6,571,1,true,A63_6
A64_0,1362,2,true,A64_0
A64_1,799,2,false,A23_4
A64_2,655,1,true,A64_2
A65_0,829,1,true,A65_0
A65_1,797,3,false,A129_2
A65_2,810,1,true,A65_2
A65_3,432,1,true,A65_3
A66_0,330,1,true,A66_0
A66_1,1262,1,true,A66_1
A67_0,295,1,true,A67_0
A67_1,449,1,true,A67_1
A67_2,463,1,true,A67_2
A68_0,1091,1,true,A68_0
A68_1,672,1,true,A68_1
A68_2,675,1,true,A68_2
A68_3,673,1,true,A68_3
A68_4,674,1,true,A68_4
A69_0,414,1,true,A69_0
A69_1,118,1,true,A69_1
A69_2,293,1,true,A69_2
A69_3,1201,1,true,A69_3
A69_4,1215,1,true,A69_4
A69_5,74,1,true,A69_5
A70_0,525,2,true,A70_0
A70_1,72,2,true,A70_1
A70_2,282,1,true,A70_2
A70_3,358,2,true,A70_3
A70_4,175,1,true,A70_4
A71_0,223,4,true,A71_0
A71_1,35,1,true,A71_1
A71_2,109,1,true,A71_2
A71_3,531,1,true,A71_3
A71_4,171,1,true,A71_4
A71_5,88,2,false,A4_0
A71_6,447,1,true,A71_6
A71_7,333,1,true,A71_7
A71_8,358,2,false,A70_3
A71_9,1342,1,true,A71_9
A72_0,525,2,false,A70_0
A72_1,16,2,true,A72_1
A72_2,52,1,true,A72_2
A72_3,343,1,true,A72_3
A73_0,549,2,true,A73_0
A73_1,1282,1,true,A73_1
A73_2,562,1,true,A73_2
A74_0,934,2,true,A74_0
A74_1,934,2,false,A74_0
A75_0,12,1,true,A75_0
A75_1,318,1,true,A75_1
A75_2,89,1,true,A75_2
A75_3,787,1,true,A75_3
A76_0,1066,4,true,A76_0
A76_1,591,1,true,A76_1
A76_2,695,1,true,A76_2
A76_3,180,1,true,A76_3
A76_4,335,1,true,A76_4
A76_5,379,2,true,A76_5
A76_6,77,1,true,A76_6
A76_7,243,1,true,A76_7
A76_8,277,1,true,A76_8
A76_9,575,1,true,A76_9
A76_10,741,1,true,A76_10
A77_0,944,2,true,A77_0
A77_1,823,1,true,A77_1
A77_2,754,1,true,A77_2
A77_3,929,1,true,A77_3
A77_4,698,1,true,A77_4
A78_0,1334,1,true,A78_0
A78_1,1324,1,true,A78_1
A79_0,1057,10,false,A102_0
A79_1,418,3,false,A116_0
A79_2,143,2,false,A42_1
A79_3,454,1,true,A79_3
A79_4,624,1,true,A79_4
A79_5,631,1,true,A79_5
A79_6,601,1,true,A79_6
A79_7,1096,3,false,A102_6
A79_8,1111,1,true,A79_8
A79_9,84,1,true,A79_9
A79_10,1057,10,false,A102_0
A80_0,1281,2,true,A80_0
A80_1,559,1,true,A80_1
A80_2,552,2,true,A80_2
A80_3,548,3,true,A80_3
A80_4,1267,2,true,A80_4
A81_0,1060,3,true,A81_0
A81_1,930,1,true,A81_1
A81_2,872,1,true,A81_2
A81_3,1030,1,true,A81_3
A81_4,1294,1,true,A81_4
A81_5,889,1,true,A81_5
A81_6,1241,1,true,A81_6
A81_7,1090,2,false,A98_0
A82_0,687,1,true,A82_0
A82_1,828,1,true,A82_1
A82_2,834,1,true,A82_2
A83_0,1289,1,true,A83_0
A84_0,821,1,true,A84_0
A84_1,839,1,true,A84_1
A84_2,808,1,true,A84_2
A84_3,813,1,true,A84_3
A84_4,772,1,true,A84_4
A85_0,1263,2,false,A16_2
A85_1,947,1,true,A85_1
A85_2,1059,2,true,A85_2
A86_0,650,1,true,A86_0
A86_1,1276,3,true,A86_1
A86_2,547,4,false,A126_3
A86_3,294,1,true,A86_3
A86_4,507,1,true,A86_4
A86_5,809,1,true,A86_5
A86_6,936,1,true,A86_6
